Created,Likes,Sentiment,Like Score,NLTK_Compound,Blob Score,Stock
2020-09-21,8153.2,1.0,8153.2,486.55806586468526,2243.7105473659226,GME
2020-09-22,2807.3636363636365,0.8181818181818182,1620.4545454545455,-105.05907186165706,2184.1859969125335,GME
2020-09-25,5336.222222222223,1.0,5336.222222222223,178.6874435045649,2323.147993586511,GME
2020-09-30,1085.8095238095239,0.5238095238095238,857.6190476190477,842.2034037463284,2465.789126191197,GME
2020-10-05,3386.166666666666,1.0,3386.166666666666,600.6974306113464,2478.756170498389,GME
2020-10-09,4103.954545454545,0.7272727272727273,2921.7727272727275,15.805250831687625,2227.225712831641,GME
2020-10-14,3197.055555555556,1.0,3197.055555555556,335.1083017011706,2283.8438875517927,GME
2020-10-20,6815.7619047619055,0.8095238095238095,6811.0,341.2759391557933,2189.1709705765657,GME
2020-10-23,2757.0,1.0,2757.0,636.6698769295781,2204.1918670012456,GME
2020-10-24,2769.285714285714,1.0,2769.285714285714,1158.4213807730227,2150.5602632610407,GME
2020-10-29,1897.0769230769229,0.5384615384615384,1676.7692307692307,304.40064643767823,2353.295144762602,GME
2020-11-04,2952.3,1.0,2952.3,228.76822452940308,2350.8864803024285,GME
2020-11-09,6395.125,0.875,6308.625,-377.9880668618814,2234.31019339554,GME
2020-11-12,1884.470588235294,0.6470588235294118,1564.5882352941173,341.50437017263124,2238.826227131833,GME
2020-11-17,3760.75,0.9,3730.15,581.96608723064,2415.648889156626,GME
2020-11-20,3616.3684210526317,0.7894736842105263,3470.684210526316,577.4083445613509,2324.2326435574937,GME
2020-11-25,2664.733333333333,0.8666666666666667,2027.2666666666669,400.7006365360477,2242.823660449264,GME
2020-11-30,4903.307692307692,0.8461538461538461,4796.846153846154,625.8139647960446,2429.6623759422164,GME
2020-12-03,3191.8,0.7,3014.3,298.7007486841998,2351.2000166222892,GME
2020-12-08,1712.7333333333331,0.8666666666666667,1611.4,653.9871235393832,2468.2821377448354,GME
2020-12-10,3694.6,0.8,3381.5,611.5424650774113,2292.0456978637544,GME
2020-12-15,1481.2857142857142,0.6190476190476191,1062.2380952380952,396.2190375390378,2071.475438755499,GME
2020-12-17,2096.5,1.0,2096.5,1189.8536560386458,2129.283633664197,GME
2020-12-18,1129.5,0.875,1043.0,930.815602361356,2142.8325896680785,GME
2020-12-22,2517.0,0.8260869565217391,2390.043478260869,223.1335927807353,2088.535687548171,GME
2020-12-25,2564.4615384615386,0.8461538461538461,2255.538461538461,1475.6050360410609,2366.865579502487,GME
2020-12-26,4141.833333333333,0.6666666666666666,4006.833333333334,800.8138790287979,2248.2437868523302,GME
2020-12-30,5733.266666666666,0.7333333333333333,5686.2,145.40178105104513,2296.4487241948723,GME
2021-01-04,2283.4166666666665,1.0,2283.4166666666665,674.023787016306,2421.1162532983103,GME
2021-01-06,2783.08,1.0,2783.08,683.8354430728663,2390.152105875855,GME
2021-01-08,2957.2,0.8,2878.1,370.85231700256463,2304.594442115389,GME
2021-01-12,6038.45,0.6,5800.95,411.1214419708422,2497.141976854297,GME
2021-01-14,5415.64705882353,0.8823529411764706,3008.470588235294,157.3128269290203,2451.905116093979,GME
2021-01-16,3345.2105263157896,0.7894736842105263,3313.631578947369,584.9356904495322,2348.1684930826927,GME
2020-09-21,8484.777777777777,0.3333333333333333,-2659.222222222222,-18.33353115157984,1069.9100095618287,NIO
2020-09-22,10590.333333333334,0.3333333333333333,-6604.333333333332,-65.2758239413905,1011.8021080776294,NIO
2020-09-25,5236.578947368421,0.7894736842105263,61.526315789473685,128.03487431538713,1034.0503593922404,NIO
2020-09-30,5204.8,0.7333333333333333,-1533.2,92.57994630324104,993.1495688925446,NIO
2020-10-05,5390.777777777777,0.8888888888888888,-7.333333333333332,153.1499778424796,988.3301632621941,NIO
2020-10-09,2016.7,0.8,1727.9,149.1068720165331,1014.5609824683064,NIO
2020-10-14,2757.043478260869,0.4782608695652174,2280.0,341.99412072822633,964.8572702951747,NIO
2020-10-20,5210.047619047619,0.8095238095238095,579.2857142857142,88.45071514609091,980.2040721305244,NIO
2020-10-24,3996.333333333334,0.5555555555555556,-2152.0,294.22805509458874,1042.150498427873,NIO
2020-10-29,4078.190476190476,1.0,4078.190476190476,189.4805133885289,954.9857348828759,NIO
2020-11-04,2905.888888888889,0.7777777777777778,2798.0,152.09255016492438,1036.3843924747503,NIO
2020-11-09,4379.454545454545,1.0,4379.454545454545,262.1990013680967,967.0233307353044,NIO
2020-11-12,4613.333333333333,0.8666666666666667,4200.8,255.45730183110427,1009.8501014864585,NIO
2020-11-17,3249.5,0.875,3240.875,151.07340041234855,912.7989364789427,NIO
2020-11-20,4207.190476190476,0.6190476190476191,2541.5714285714284,1.9521741739481464,1064.3075143862177,NIO
2020-11-25,1231.7058823529412,0.8823529411764706,1227.2352941176468,-9.69866924164914,992.0228581662407,NIO
2020-11-30,3365.5,0.4444444444444444,486.61111111111114,89.55120548924792,1010.8237261587258,NIO
2020-12-03,3988.75,0.6,3806.05,166.65730061957657,1002.5168790265536,NIO
2020-12-08,2905.133333333333,1.0,2905.133333333333,15.937971013287285,1001.4660567382364,NIO
2020-12-10,4744.117647058823,0.7647058823529411,-1294.3529411764705,406.5115632809631,1020.4329543408853,NIO
2020-12-15,1202.9444444444443,0.8888888888888888,1159.7222222222224,219.9258179689994,962.6555998516096,NIO
2020-12-18,1122.0,1.0,1122.0,303.5917924926684,989.0202257114819,NIO
2020-12-22,3564.7727272727275,0.8181818181818182,3287.409090909091,-10.062309528953218,914.037531888687,NIO
2020-12-25,1430.5,1.0,1430.5,123.33865139448008,1032.9608153973247,NIO
2020-12-26,2910.7058823529414,1.0,2910.7058823529414,528.3954694977414,1068.628347822112,NIO
2020-12-30,1734.7142857142858,1.0,1734.7142857142858,202.12658285359,1012.6905401914934,NIO
2021-01-04,2712.35,0.7,1411.15,165.87260315749944,900.0207339458874,NIO
2021-01-06,3489.052631578948,1.0,3489.052631578948,202.28447929412988,1042.7795954902178,NIO
2021-01-08,5206.789473684211,1.0,5206.789473684211,361.1378679585365,948.9721696296781,NIO
2021-01-12,1435.416666666667,0.6666666666666666,594.25,192.37049672447182,990.2038426603073,NIO
